"p","Psi","model","npar","AICc","DeltaAICc","weight","Neg2LnL"
"~1","~Area_km2 + pctcbbl + elev_m + avgT + BRT_100m","p(~1)Psi(~Area_km2 + pctcbbl + elev_m + avgT + BRT_100m)",7,230.362521832061,0,0.315908413622638,215.50756
"~1","~Area_km2 + pctcbbl + elev_m + avgT","p(~1)Psi(~Area_km2 + pctcbbl + elev_m + avgT)",6,231.247353636364,0.884831804302536,0.202965586312926,218.61099
"~1","~Area_km2 + pctcbbl + elev_m + avgT + med_len + BRT_100m","p(~1)Psi(~Area_km2 + pctcbbl + elev_m + avgT + med_len + BRT_100m)",8,232.121442307692,1.75892047563121,0.131104157598878,215.01375
"~1","~pctcbbl + elev_m + avgT + BRT_100m","p(~1)Psi(~pctcbbl + elev_m + avgT + BRT_100m)",6,232.941903636364,2.57938180430256,0.0869872398162217,220.30554
"~1","~Area_km2 + pctcbbl + elev_m + avgT + med_len","p(~1)Psi(~Area_km2 + pctcbbl + elev_m + avgT + med_len)",7,233.367141832061,3.00461999999999,0.0703260539612162,218.51218
"~1","~pctcbbl + elev_m + avgT + med_len","p(~1)Psi(~pctcbbl + elev_m + avgT + med_len)",6,234.729433636364,4.36691180430256,0.0355875706951531,222.09307
"~1","~Area_km2 + pctcbbl + avgT + BRT_100m","p(~1)Psi(~Area_km2 + pctcbbl + avgT + BRT_100m)",6,234.901393636364,4.53887180430254,0.0326556026785346,222.26503
"~1","~elev_m + avgT","p(~1)Psi(~elev_m + avgT)",4,235.324497462687,4.96197563062549,0.0264290696100973,227.02599
"~1","~Area_km2 + pctcbbl + avgT + med_len","p(~1)Psi(~Area_km2 + pctcbbl + avgT + med_len)",6,235.864113636364,5.50159180430254,0.020179282092988,223.22775
"~1","~elev_m + avgT + med_len","p(~1)Psi(~elev_m + avgT + med_len)",5,235.975697819549,5.61317598748781,0.0190842683204858,225.52457
"~1","~pctcbbl + avgT","p(~1)Psi(~pctcbbl + avgT)",4,236.965917462687,6.60339563062547,0.01163193724746,228.66741
"~1","~elev_m + avgT + BRT_100m","p(~1)Psi(~elev_m + avgT + BRT_100m)",5,236.987887819549,6.62536598748778,0.0115048576154459,226.53676
"~1","~Area_km2 + avgT + med_len","p(~1)Psi(~Area_km2 + avgT + med_len)",5,237.427217819549,7.0646959874878,0.00923595803202295,226.97609
"~1","~pctcbbl + avgT + med_len","p(~1)Psi(~pctcbbl + avgT + med_len)",5,237.960977819549,7.5984559874878,0.00707257301214527,227.50985
"~1","~Area_km2 + avgT","p(~1)Psi(~Area_km2 + avgT)",4,238.020117462687,7.65759563062548,0.00686650007531826,229.72161
"~1","~pctcbbl + avgT + BRT_100m","p(~1)Psi(~pctcbbl + avgT + BRT_100m)",5,238.628827819549,8.26630598748778,0.00506472249536771,228.1777
"~1","~avgT + med_len","p(~1)Psi(~avgT + med_len)",4,239.659417462687,9.29689563062547,0.00302528265248943,231.36091
"~1","~Area_km2 + avgT + BRT_100m","p(~1)Psi(~Area_km2 + avgT + BRT_100m)",5,239.992927819549,9.63040598748779,0.00256061982295151,229.5418
"~1","~avgT","p(~1)Psi(~avgT)",3,241.282927777778,10.9204059457167,0.00134346133373719,235.10515
"~1","~avgT + BRT_100m","p(~1)Psi(~avgT + BRT_100m)",4,243.397647462687,13.0351256306255,0.000466680469939353,235.09914
"~1","~Area_km2 + pctcbbl + BRT_100m","p(~1)Psi(~Area_km2 + pctcbbl + BRT_100m)",5,261.076517819549,30.7139959874878,6.76241322634514e-08,250.62539
"~1","~Area_km2 + pctcbbl + elev_m + BRT_100m","p(~1)Psi(~Area_km2 + pctcbbl + elev_m + BRT_100m)",6,261.581663636364,31.2191418043025,5.25303972395094e-08,248.9453
"~1","~Area_km2 + elev_m + BRT_100m","p(~1)Psi(~Area_km2 + elev_m + BRT_100m)",5,264.133097819549,33.7705759874877,1.46680976199896e-08,253.68197
"~1","~Area_km2 + BRT_100m","p(~1)Psi(~Area_km2 + BRT_100m)",4,264.142467462687,33.7799456306255,1.45995409132415e-08,255.84396
"~1","~med_len + BRT_100m","p(~1)Psi(~med_len + BRT_100m)",4,266.972607462687,36.6100856306255,3.54635417893797e-09,258.6741
"~1","~Area_km2","p(~1)Psi(~Area_km2)",3,268.271847777778,37.9093259457167,1.85206258041845e-09,262.09407
"~1","~Area_km2 + med_len","p(~1)Psi(~Area_km2 + med_len)",4,268.624357462687,38.2618356306255,1.55277722221954e-09,260.32585
"~1","~Area_km2 + pctcbbl","p(~1)Psi(~Area_km2 + pctcbbl)",4,268.875487462687,38.5129656306255,1.36954707627656e-09,260.57698
"~1","~pctcbbl + BRT_100m","p(~1)Psi(~pctcbbl + BRT_100m)",4,269.724947462687,39.3624256306255,8.9561027991605e-10,261.42644
"~1","~Area_km2 + elev_m","p(~1)Psi(~Area_km2 + elev_m)",4,270.060807462687,39.6982856306255,7.57160583895918e-10,261.7623
"~1","~Area_km2 + pctcbbl + med_len","p(~1)Psi(~Area_km2 + pctcbbl + med_len)",5,270.136397819549,39.7738759874878,7.29077607976782e-10,259.68527
"~1","~pctcbbl + elev_m + BRT_100m","p(~1)Psi(~pctcbbl + elev_m + BRT_100m)",5,270.365567819549,40.0030459874878,6.50144850166042e-10,259.91444
"~1","~Area_km2 + elev_m + med_len","p(~1)Psi(~Area_km2 + elev_m + med_len)",5,270.723727819549,40.3612059874878,5.43546459230296e-10,260.2726
"~1","~Area_km2 + pctcbbl + elev_m + med_len","p(~1)Psi(~Area_km2 + pctcbbl + elev_m + med_len)",6,272.305573636364,41.9430518043026,2.46458168206421e-10,259.66921
"~1","~BRT_100m","p(~1)Psi(~BRT_100m)",3,272.379937777778,42.0174159457167,2.37462616139795e-10,266.20216
"~1","~elev_m + BRT_100m","p(~1)Psi(~elev_m + BRT_100m)",4,272.531237462687,42.1687156306255,2.20161278727902e-10,264.23273
"~1","~med_len","p(~1)Psi(~med_len)",3,273.407307777778,43.0447859457167,1.42070754603107e-10,267.22953
"~1","~1","p(~1)Psi(~1)",2,274.325285294118,43.9627634620566,8.97776849478855e-11,270.23705
"~1","~pctcbbl","p(~1)Psi(~pctcbbl)",3,274.651707777778,44.2891859457167,7.62582194205961e-11,268.47393
"~1","~pctcbbl + med_len","p(~1)Psi(~pctcbbl + med_len)",4,274.979487462687,44.6169656306255,6.47306855167351e-11,266.68098
"~1","~elev_m + med_len","p(~1)Psi(~elev_m + med_len)",4,275.496417462687,45.1338956306255,4.9987369469342e-11,267.19791
"~1","~elev_m","p(~1)Psi(~elev_m)",3,276.018897777778,45.6563759457167,3.84950709320273e-11,269.84112
"~1","~pctcbbl + elev_m","p(~1)Psi(~pctcbbl + elev_m)",4,276.654817462687,46.2922956306255,2.80102457504969e-11,268.35631
"~1","~pctcbbl + elev_m + med_len","p(~1)Psi(~pctcbbl + elev_m + med_len)",5,277.126727819549,46.7642059874877,2.21229423286126e-11,266.6756
